time;open;high;low;close;Volume;;;;;
2008-04-09;3857.2749;3911.697;3687.5969;3688.125;38997168;;;;;
2008-04-10;3641.6599;3754.7151;3608.3159;3754.7151;28804396;;;;;
2008-04-11;3794.2971;3825.2949;3755.0149;3783.728;26328590;;;;;
2008-04-14;3699.1421;3710.7859;3525.1851;3536.3269;33427046;;;;;
2008-04-15;3513.0681;3583.8611;3417.249;3583.2991;30656886;;;;;
2008-04-16;3573.6641;3583.8081;3483.1851;3494.0161;26528120;;;;;
2008-04-17;3493.238;3559.1001;3340.875;3386.6299;29530618;;;;;
2008-04-18;3356.562;3390.551;3248.5281;3272.499;27888162;;;;;
2008-04-21;3516.425;3516.425;3223.886;3267.554;41362307;;;;;
2008-04-22;3207.8811;3301.5481;3122.3899;3296.2771;32537969;;;;;
2008-04-23;3267.3589;3467.4309;3245.2959;3453.7271;44272553;;;;;
2008-04-24;3739.321;3781.4771;3659.7261;3774.5039;96574890;;;;;
2008-04-25;3781.9121;3915.8411;3737.9839;3803.0701;84814490;;;;;
2008-04-28;3740.9509;3791.77;3711.1851;3729.1541;48831235;;;;;
2008-04-29;3704.927;3797.5281;3702.021;3776.9431;44540440;;;;;
2008-04-30;3793.853;3970.575;3793.853;3959.1189;69909770;;;;;
2008-05-05;4015.2119;4061.4719;3972.561;4055.7791;62534073;;;;;
2008-05-06;4021.073;4075.575;3961.344;4010.8879;58459280;;;;;
2008-05-07;3986.1289;4042.407;3821.1069;3821.3191;54457706;;;;;
2008-05-08;3925.041;3925.041;3925.041;3925.041;44055668;;;;;
2008-05-09;3960.886;3973.0581;3806.519;3878.9241;53655929;;;;;
2008-05-12;3904.9199;3904.9199;3904.9199;3904.9199;45382660;;;;;
2008-05-13;3786.5339;3923.1709;3778.718;3851.687;50338012;;;;;
2008-05-14;3843.47;3975.7949;3843.47;3975.782;50606901;;;;;
2008-05-15;4006.658;4038.8521;3948.062;3948.0879;50772975;;;;;
2008-05-16;3948.0339;3982.2209;3882.895;3936.1211;39721752;;;;;
2008-05-19;3926.314;3936.2771;3865.5;3914.072;29709581;;;;;
2008-05-20;3911.0959;3946.4409;3698.554;3710.8181;39702629;;;;;
2008-05-21;3668.1809;3801.0669;3591.5659;3783.0491;43596162;;;;;
2008-05-22;3732.6411;3783.8491;3704.157;3711.4441;40742717;;;;;
2008-05-23;3697.8899;3741.0601;3629.009;3675.147;33440431;;;;;
2008-05-26;3643.012;3643.012;3555.762;3559.217;28180190;;;;;
2008-05-27;3549.9861;3594.657;3533.4661;3576.197;24762693;;;;;
2008-05-28;3583.2839;3697.9961;3561.7329;3676.23;31034914;;;;;
2008-05-29;3666.196;3677.02;3578.7319;3580.8679;29422740;;;;;
2008-05-30;3585.605;3620.2251;3552.6621;3611.3301;28590847;;;;;
2008-06-02;3600.2339;3650.478;3580.5801;3625.8259;28253358;;;;;
2008-06-03;3624.572;3641.429;3585.124;3614.1111;34735141;;;;;
2008-06-04;3601.54;3605.0581;3513.6411;3546.916;29417653;;;;;
2008-06-05;3529.978;3542.2439;3487.792;3512.1379;23989279;;;;;
2008-06-06;3519.116;3532.2971;3470.563;3489.502;20944229;;;;;
2008-06-10;3344.4529;3352.321;3188.7959;3206.562;32949961;;;;;
2008-06-11;3155.9431;3181.8181;3097.395;3140.2991;29409735;;;;;
2008-06-12;3123.6399;3148.7419;3022.876;3084.6331;31454109;;;;;
2008-06-13;3087.3369;3108.988;2975.6609;2979.1169;25319837;;;;;
2008-06-16;2981.085;3012.9929;2900.075;2952.2419;26813794;;;;;
2008-06-17;2950.3989;2977.8889;2820.6431;2842.676;26463778;;;;;
2008-06-18;2820.2371;3007.1799;2759.1069;2991.2729;42560095;;;;;
2008-06-19;2967.4021;2967.4021;2768.2251;2773.0759;36319039;;;;;
2008-06-20;2795.4651;2946.939;2691.8679;2849.668;51675905;;;;;
2008-06-23;2798.428;2845.479;2771.363;2789.9409;26631493;;;;;
2008-06-24;2775.6899;2865.9031;2770.9871;2851.915;31792456;;;;;
2008-06-25;2844.9221;2973.1731;2834.9451;2969.5371;42425261;;;;;
2008-06-26;2964.5161;3010.2781;2922.7859;2980.907;42599312;;;;;
2008-06-27;2886.1799;2899.8359;2787.252;2816.021;40886556;;;;;
2008-06-30;2782.844;2834.272;2747.614;2791.8191;25295406;;;;;
2008-07-01;2799.1951;2809.3811;2690.1809;2698.3469;28851585;;;;;
2008-07-02;2702.634;2745.939;2670.064;2699.5969;27916365;;;;;
2008-07-03;2654.479;2807.6819;2617.2581;2760.6121;45660305;;;;;
2008-07-04;2751.2129;2783.8469;2716.022;2741.8521;37905010;;;;;
2008-07-07;2747.6111;2890.9851;2747.6111;2882.7629;52732024;;;;;
2008-07-08;2900.571;2939.1431;2841.073;2901.8411;54248078;;;;;
2008-07-09;2926.9961;3015.271;2926.9961;3015.126;69356960;;;;;
2008-07-10;2970.9839;3056.905;2950.2;2973.728;61649554;;;;;
2008-07-11;2962.8611;2988.197;2913.8721;2953.498;44287101;;;;;
2008-07-14;2927.24;2996.592;2917.0229;2975.874;34575043;;;;;
2008-07-15;2987.061;2997.666;2849.199;2852.979;47292759;;;;;
2008-07-16;2818.7629;2824.8811;2702.6589;2745.5959;39403115;;;;;
2008-07-17;2790.259;2812.9919;2705.8091;2718.0681;32687335;;;;;
2008-07-18;2746.5359;2818.064;2690.0691;2815.4619;40203402;;;;;
2008-07-21;2792.8291;2915.293;2780.282;2911.051;45119577;;;;;
2008-07-22;2905.2759;2931.447;2890.252;2904.7429;38814976;;;;;
2008-07-23;2923.0491;2941.9719;2879.1851;2883.3201;38821233;;;;;
2008-07-24;2905.043;2979.748;2902.9761;2904.7429;48538665;;;;;
2008-07-25;2939.321;2967.719;2916.6841;2939.2019;40571081;;;;;
2008-07-28;2959.113;2997.604;2946.4919;2960.8511;39308640;;;;;
2008-07-29;2921.248;2921.248;2881.05;2905.6299;36036275;;;;;
2008-07-30;2940.02;2949.9431;2866.031;2884.384;29810800;;;;;
2008-07-31;2894.2461;2899.0691;2804.698;2805.21;27940966;;;;;
2008-08-01;2786.123;2868.679;2748.7549;2840.7881;34031491;;;;;
2008-08-04;2816.936;2832.895;2767.5291;2773.1499;22782324;;;;;
2008-08-05;2780.761;2792.7419;2695.3721;2703.0791;30469235;;;;;
2008-08-06;2723.5229;2749.0991;2679.6599;2721.6931;27404022;;;;;
2008-08-07;2717.6609;2747.884;2683.4089;2720.4419;23370439;;;;;
2008-08-08;2719.375;2719.375;2581.811;2591.4619;30894581;;;;;
2008-08-11;2579.8049;2580.72;2442.7939;2456.811;32120206;;;;;
2008-08-12;2431.3831;2474.324;2413.5969;2444.155;24191944;;;;;
2008-08-13;2427.4951;2466.0859;2369.5801;2444.6721;27551711;;;;;
2008-08-14;2429.9771;2461.238;2410.491;2443.512;20157236;;;;;
2008-08-15;2440.3899;2479.1509;2412.949;2447.615;20422261;;;;;
2008-08-18;2451.311;2452.626;2312.9509;2313.4021;23623106;;;;;
2008-08-19;2285.5149;2356.1909;2273.8931;2348.4719;19477106;;;;;
2008-08-20;2332.386;2533.303;2312.176;2532.9399;45043415;;;;;
2008-08-21;2494.262;2535.8621;2438.8601;2443.979;37518040;;;;;
2008-08-22;2421.249;2437.4319;2362.6311;2404.928;26298241;;;;;
2008-08-25;2408.0259;2439.907;2373.7649;2400.5481;18643190;;;;;
2008-08-26;2370.5281;2390.655;2306.936;2331.532;23741937;;;;;
2008-08-27;2322.5391;2367.717;2291.3501;2325.292;23862584;;;;;
2008-08-28;2325.262;2363.563;2316.6819;2335.865;20400291;;;;;
2008-08-29;2347.3999;2418.051;2339.5181;2391.6399;28877845;;;;;
2008-09-01;2372.6379;2372.6379;2297.0229;2309.1709;21152803;;;;;
2008-09-02;2292.686;2309.2061;2268.0039;2285.4109;18440498;;;;;
2008-09-03;2279.5979;2296.032;2219.5591;2245.9641;23749474;;;;;
2008-09-04;2238.645;2270.4109;2216.1121;2251.146;18984780;;;;;
2008-09-05;2193.0381;2221.093;2172.9409;2183.4319;21654480;;;;;
2008-09-08;2189.822;2198.761;2119.124;2126.5181;22186554;;;;;
2008-09-09;2135.2229;2150.988;2111.4041;2139.145;17624298;;;;;
2008-09-10;2124.9651;2181.2529;2099.2339;2143.176;22057844;;;;;
2008-09-11;2135.4529;2141.9951;2067.249;2072.126;22176781;;;;;
2008-09-16;2050.3159;2050.3159;1987.298;2000.651;33563261;;;;;
2008-09-17;1981.252;2003.908;1923.55;1929.135;32862242;;;;;
2008-09-18;1876.965;1936.735;1804.77;1895.99;47820263;;;;;
2008-09-19;2065.7791;2073.113;2046.222;2073.113;36525404;;;;;
2008-09-22;2228.366;2258.4241;2130.3149;2207.614;101993870;;;;;
2008-09-23;2141.6001;2180.3679;2118.9199;2123.478;78365610;;;;;
2008-09-24;2072.6521;2139.2219;2050.967;2138.853;45328180;;;;;
2008-09-25;2143.729;2256.271;2139.616;2223.532;74237910;;;;;
2008-09-26;2234.459;2257.1609;2192.1289;2243.657;59429943;;;;;
2008-10-06;2206.563;2206.563;2128.271;2128.696;45575264;;;;;
2008-10-07;2043.923;2136.124;2024.6479;2102.448;43065325;;;;;
2008-10-08;2041.991;2073.0669;2000.522;2022.881;36874700;;;;;
2008-10-09;2059.585;2063.304;1993.01;1995.297;33582311;;;;;
2008-10-10;1913.265;1938.215;1881.673;1906.96;39151593;;;;;
2008-10-13;1889.754;1985.63;1841.533;1985.486;43538120;;;;;
