time;open;high;low;close;Volume;Futures Open Interest;;;;
2013-10-30;2374.8;2400.8;2361.4;2395.6;813558;68037;;;;
2013-10-31;2391;2391;2365.2;2376.2;708038;64978;;;;
2013-11-01;2378.2;2398.4;2366.2;2389.6;680253;66181;;;;
2013-11-04;2393;2409.8;2374.6;2381;597017;68212;;;;
2013-11-05;2383;2389.6;2343.8;2384.6;721087;67716;;;;
2013-11-06;2383.8;2384.6;2347.8;2355.4;660725;71441;;;;
2013-11-07;2353;2359.2;2332.6;2347;697393;68538;;;;
2013-11-08;2341;2348.8;2307.4;2313.8;716121;71055;;;;
2013-11-11;2312.6;2325.6;2295.4;2319.2;641007;61518;;;;
2013-11-12;2324.8;2346;2317.4;2337.6;667948;52553;;;;
2013-11-13;2328.2;2329.4;2291.8;2298.2;545424;41369;;;;
2013-11-14;2289;2304.6;2281.6;2299.8;505154;75853;;;;
2013-11-15;2300.2;2381.6;2300.2;2348.2;896123;88962;;;;
2013-11-18;2368;2422.6;2356.8;2412.6;919457;95371;;;;
2013-11-19;2418.4;2421;2403.2;2409.8;568402;90273;;;;
2013-11-20;2418;2441.8;2404.4;2422;717558;91286;;;;
2013-11-21;2423.8;2424.8;2386.2;2411.4;746656;88455;;;;
2013-11-22;2425;2433.6;2396.8;2405.8;740244;90821;;;;
2013-11-25;2400;2426.2;2381.2;2395.8;737849;96456;;;;
2013-11-26;2388;2405;2382.4;2394.2;666446;95652;;;;
2013-11-27;2385.2;2436.2;2383;2419.4;816268;95635;;;;
2013-11-28;2426;2477;2425;2453.2;837429;99150;;;;
2013-11-29;2452;2459;2443.4;2453.2;512085;95717;;;;
2013-12-02;2440;2477.8;2411.6;2434;925918;95940;;;;
2013-12-03;2427.8;2463.8;2423.2;2455.4;683700;95950;;;;
2013-12-04;2448.8;2500.8;2446.4;2481.6;844487;98011;;;;
2013-12-05;2485.6;2489.2;2472.2;2482.6;548688;94268;;;;
2013-12-06;2482.2;2482.8;2457.2;2465;595838;92816;;;;
2013-12-09;2476.8;2489;2458.8;2463.4;537358;94395;;;;
2013-12-10;2462.2;2479;2457;2462.4;611202;91767;;;;
2013-12-11;2458.8;2459;2407.4;2417.2;587955;92030;;;;
2013-12-12;2420;2429.8;2412.4;2418;474825;88585;;;;
2013-12-13;2401.2;2428.6;2385.6;2414;629182;79075;;;;
2013-12-16;2410.6;2426;2364.2;2376.2;595506;77333;;;;
2013-12-17;2375.8;2376;2355.2;2360.2;468499;66933;;;;
2013-12-18;2355;2371.8;2355;2362.8;368545;51539;;;;
2013-12-19;2382.4;2384.8;2345.4;2350.4;533171;76660;;;;
2013-12-20;2350;2358;2294.4;2301;760708;95037;;;;
2013-12-23;2304;2314;2273.6;2299.6;673567;94779;;;;
2013-12-24;2308.6;2334.8;2281.8;2297;765118;95071;;;;
2013-12-25;2310;2327.8;2299.4;2315.2;722850;95373;;;;
2013-12-26;2320;2324.2;2279;2290.2;679652;100211;;;;
2013-12-27;2295;2346;2288;2331.4;880934;97504;;;;
2013-12-30;2341.4;2344;2315.2;2325.6;566897;98112;;;;
2013-12-31;2319.6;2355.6;2305;2348.4;815761;91351;;;;
2014-01-02;2340;2344.8;2325;2334.4;521979;95809;;;;
2014-01-03;2316;2327.8;2286;2297.2;598927;96696;;;;
2014-01-06;2294;2297;2230.8;2240.2;640223;91376;;;;
2014-01-07;2234;2253;2216.4;2238.4;626018;85620;;;;
2014-01-08;2243.6;2269.2;2229;2243.2;724309;85765;;;;
2014-01-09;2240;2265;2220.4;2229.2;715698;87542;;;;
2014-01-10;2224;2231.4;2206.6;2213.6;686705;83558;;;;
2014-01-13;2223.8;2228.8;2190.2;2198.4;623400;80680;;;;
2014-01-14;2197;2224.8;2186.2;2213.6;666190;70037;;;;
2014-01-15;2220.2;2221.8;2196;2210.4;515463;57917;;;;
2014-01-16;2220;2241.8;2210.2;2223.6;255825;49649;;;;
2014-01-17;2210;2218.6;2187.4;2197.2;633560;68203;;;;
2014-01-20;2199.6;2200;2172.8;2184.2;570355;73155;;;;
2014-01-21;2184;2217.2;2182.4;2202.4;648824;71828;;;;
2014-01-22;2206;2256.4;2205.2;2250.2;734205;75374;;;;
2014-01-23;2255;2256;2236;2246.2;520148;72540;;;;
2014-01-24;2236.6;2271.4;2230.2;2254.2;707263;71019;;;;
2014-01-27;2235;2242;2216.2;2227.4;528237;71469;;;;
2014-01-28;2225.8;2248;2217.6;2231.6;569614;70184;;;;
2014-01-29;2238;2247;2232;2238.2;466626;68991;;;;
2014-01-30;2233;2236.6;2196.2;2209;429342;68764;;;;
2014-02-07;2195;2216.4;2178.2;2212.6;458473;70208;;;;
2014-02-10;2221.6;2270;2221.2;2264.4;586644;67395;;;;
2014-02-11;2262;2289.2;2258.4;2277.6;599468;63671;;;;
2014-02-12;2285;2290.6;2275.2;2283;476456;61495;;;;
2014-02-13;2284;2291;2271.2;2278.6;495048;59075;;;;
2014-02-14;2276.6;2290.4;2273.2;2285;459567;55429;;;;
2014-02-17;2297;2320;2292.6;2305.8;489404;44260;;;;
2014-02-18;2306.2;2307.6;2272;2277.8;324034;33632;;;;
2014-02-19;2280.2;2310.6;2275.2;2300.6;220024;19610;;;;
2014-02-20;2310.2;2330.6;2280.4;2284.4;642851;92523;;;;
2014-02-21;2286.4;2291.4;2256.2;2261.8;556410;95890;;;;
2014-02-24;2257.4;2258;2186;2206.4;642284;95287;;;;
2014-02-25;2215;2218.6;2144;2158;697334;101326;;;;
2014-02-26;2140.6;2157.8;2131.8;2149.4;676056;98347;;;;
2014-02-27;2154;2169.6;2140.4;2147.4;775386;97252;;;;
2014-02-28;2155;2176.8;2119.6;2167.6;842004;93735;;;;
2014-03-03;2165.6;2185.8;2151.6;2164.6;686707;93695;;;;
2014-03-04;2160.4;2172.2;2140.4;2163.8;738918;93122;;;;
2014-03-05;2177.6;2182.8;2145.4;2149.6;682315;98687;;;;
2014-03-06;2143;2173.8;2117.2;2167;919590;91011;;;;
2014-03-07;2165.8;2177.6;2141;2147.2;731009;92098;;;;
2014-03-10;2121.2;2128.8;2060;2071;708496;92864;;;;
2014-03-11;2067;2103.8;2061;2083.8;791116;84447;;;;
2014-03-12;2073.8;2098.6;2063.6;2086.4;837039;82507;;;;
2014-03-13;2091.8;2121.6;2087.8;2102.6;794082;79947;;;;
2014-03-14;2097.8;2106.6;2085.8;2095.6;576308;71412;;;;
2014-03-17;2095;2160.4;2095;2124.4;637263;58449;;;;
2014-03-18;2142;2144;2113;2117.8;501937;54429;;;;
2014-03-19;2118;2123.8;2088.8;2112.2;529158;34337;;;;
2014-03-20;2103.4;2125;2046.6;2061;684678;76965;;;;
2014-03-21;2054.8;2168.4;2048.2;2149.2;1023570;78275;;;;
2014-03-24;2151;2163.4;2132.2;2154;694899;78180;;;;
2014-03-25;2155;2176.6;2142.2;2151.6;712445;77984;;;;
2014-03-26;2161.8;2166;2143.6;2151.8;625918;76948;;;;
2014-03-27;2146.8;2181;2124.6;2150.8;901952;74529;;;;
2014-03-28;2142.2;2165.8;2137.6;2145.8;830598;72609;;;;
2014-03-31;2150;2168;2128.2;2138;678008;70973;;;;
2014-04-01;2148.4;2176;2139;2157.2;741374;72976;;;;
2014-04-02;2160.6;2178;2157.4;2168.6;673003;73558;;;;
2014-04-03;2180.2;2195;2157.8;2163.2;689044;77260;;;;
2014-04-04;2156.6;2190;2150.8;2183.6;693640;78278;;;;
2014-04-08;2179.8;2249.8;2178.2;2243.6;826752;84085;;;;
2014-04-09;2249.8;2258.6;2235.8;2241.6;554425;77892;;;;
2014-04-10;2244;2297.8;2233.2;2282.2;855974;73375;;;;
2014-04-11;2278;2284.8;2261.6;2274.2;633463;64479;;;;
2014-04-14;2272;2282.4;2260.6;2272.2;517711;61767;;;;
2014-04-15;2276;2278.6;2226;2232.6;627712;55540;;;;
2014-04-16;2233.6;2252;2222.4;2233;632172;42395;;;;
2014-04-17;2242;2247.2;2223.2;2229.4;411874;61097;;;;
2014-04-18;2215;2235.2;2192.4;2223.8;717142;69905;;;;
2014-04-21;2213;2238.8;2174.4;2193;729098;75324;;;;
2014-04-22;2174.2;2198;2163.4;2187.4;718852;71509;;;;
2014-04-23;2191.4;2196.8;2175.4;2183;619348;70722;;;;
2014-04-24;2186;2205;2173.6;2184.2;680630;70504;;;;
2014-04-25;2184.2;2196;2165.6;2171.8;744456;69990;;;;
2014-04-28;2158.6;2174;2139.2;2143.2;625383;75569;;;;
